timestamp,rnti,ran_ue,amf_ue,imsi
2026-09-23T12:24:27.851846,0x4601,0,393,999420000020051
2026-09-23T12:24:31.492011,0x4602,1,394,999420000020049
2026-09-23T12:24:35.152309,0x4603,2,395,999420000020052
2026-09-23T12:25:34.546959,0x4604,3,396,999420000020051
2026-09-23T12:30:10.977230,0x4605,4,397,999420000020052
2026-09-23T12:32:12.017845,0x4606,5,398,999420000020051
2026-09-23T12:33:43.078509,0x4607,6,399,999420000020049
2026-09-23T12:34:55.704422,0x4608,7,400,999420000020052
2026-09-23T12:37:26.822751,0x4663,8,401,999420000020049
2026-09-23T12:37:42.067516,0x4664,9,402,999420000020049
