timestamp,rnti,ran_ue,amf_ue,imsi
2026-09-14T11:27:26.251076,0x4602,0,60,999420000020051
2026-09-14T11:28:08.774670,0x4603,1,61,999420000020049
2026-09-14T11:33:49.954961,0x4605,2,62,999420000020051
2026-09-14T11:34:47.900083,0x4606,3,63,999420000020049
2026-09-14T11:39:49.140181,0x4608,4,64,999420000020051
2026-09-14T11:40:20.100180,0x4609,5,65,999420000020049
2026-09-14T11:43:30.681331,0x460a,6,66,999420000020051
2026-09-14T11:48:30.705415,0x460b,7,67,999420000020051
2026-09-14T11:51:20.485371,0x460c,8,68,999420000020049
2026-09-14T11:53:30.666413,0x460d,9,69,999420000020051
2026-09-14T11:54:21.930629,0x460e,10,70,999420000020049
2026-09-14T11:58:30.710537,0x460f,11,71,999420000020051
2026-09-14T12:03:30.791715,0x4610,12,72,999420000020051
2026-09-14T12:05:22.275690,0x4611,13,73,999420000020049
2026-09-14T12:08:23.315686,0x4612,14,74,999420000020049
2026-09-14T12:08:30.676785,0x4613,15,75,999420000020051
2026-09-14T12:13:30.680833,0x4614,16,76,999420000020051
2026-09-14T12:18:30.700916,0x4615,17,77,999420000020051
2026-09-14T12:19:22.142123,0x4616,18,78,999420000020049
2026-09-14T12:22:23.805967,0x4617,19,79,999420000020049
2026-09-14T12:23:30.685941,0x4618,20,80,999420000020051
